docId,oldValue,newValue,pathKey
funzioni-esponenziali,https://theoremz.com/images/esp.webp,https://theoremz.com/images/funzioni-esponenziali-1.webp,content[26].url
funzioni-esponenziali,https://theoremz.com/images/2esp.webp,https://theoremz.com/images/funzioni-esponenziali-2.webp,content[47].url
